Airport,Initial_z_score,Delay_Score,Datetime
ATL,0.0,0.03399562789328983,2023-06-01 07:00:00
AUS,0.0,0.017416678264714183,2023-06-01 07:00:00
BNA,0.0,0.024408495808658105,2023-06-01 07:00:00
BOS,0.0,0.02631705176706435,2023-06-01 07:00:00
BUF,0.0,0.02034816631156685,2023-06-01 07:00:00
BWI,0.0,0.023340650892829308,2023-06-01 07:00:00
CLT,0.0,0.04089875289441746,2023-06-01 07:00:00
DAL,0.0,0.02071300079935348,2023-06-01 07:00:00
DCA,0.0,0.024298294054728182,2023-06-01 07:00:00
DEN,0.0,0.01858430258195309,2023-06-01 07:00:00
DFW,0.0,0.020046146723823783,2023-06-01 07:00:00
DTW,0.0,0.02678161590461648,2023-06-01 07:00:00
ELP,0.0,0.020419983198194235,2023-06-01 07:00:00
EWR,0.2465969639416065,0.062190876780354565,2023-06-01 07:00:00
FLL,0.0,0.028327293482483556,2023-06-01 07:00:00
GEG,0.0,0.007278071312561858,2023-06-01 07:00:00
GRR,0.0,0.022556606770548205,2023-06-01 07:00:00
HNL,0.0,0.013051427320018674,2023-06-01 07:00:00
HOU,0.0,0.02128661185851511,2023-06-01 07:00:00
IAD,0.0,0.03005048704547014,2023-06-01 07:00:00
IAH,0.0,0.028588759463433044,2023-06-01 07:00:00
JFK,0.0,0.022251751351061153,2023-06-01 07:00:00
KOA,0.0,0.0,2023-06-01 07:00:00
LAS,0.0,0.01561388698931334,2023-06-01 07:00:00
LAX,0.0,0.014919958306299452,2023-06-01 07:00:00
LGA,0.0,0.027364820982809814,2023-06-01 07:00:00
MCI,0.0,0.019619047923768174,2023-06-01 07:00:00
MCO,0.4965853037914095,0.09619171521893269,2023-06-01 07:00:00
MDW,0.0,0.022008784213139596,2023-06-01 07:00:00
MIA,0.0,0.03151044083725345,2023-06-01 07:00:00
MSP,0.0,0.019315922135279683,2023-06-01 07:00:00
MSY,0.0,0.023262513588308404,2023-06-01 07:00:00
MYR,0.0,0.03151103582010103,2023-06-01 07:00:00
OAK,0.0,0.013444271255753057,2023-06-01 07:00:00
OKC,0.0,0.02093894110012491,2023-06-01 07:00:00
ORD,0.0,0.022615336199230337,2023-06-01 07:00:00
PDX,0.0,0.009475787333894562,2023-06-01 07:00:00
PHL,0.0,0.029523140437826834,2023-06-01 07:00:00
PHX,0.0,0.01592057881883039,2023-06-01 07:00:00
PNS,0.0,0.026227987168482434,2023-06-01 07:00:00
PVD,0.0,0.02594809465898774,2023-06-01 07:00:00
RDU,0.0,0.03290151213529661,2023-06-01 07:00:00
RIC,0.0,0.02800599272209755,2023-06-01 07:00:00
RSW,0.0,0.021739258566705902,2023-06-01 07:00:00
SAN,0.0,0.013998475674962834,2023-06-01 07:00:00
SAT,0.0,0.02523683467061099,2023-06-01 07:00:00
SAV,0.0,0.026865693930093842,2023-06-01 07:00:00
SDF,0.0,0.028718676941878754,2023-06-01 07:00:00
SEA,0.0,0.00919516029962587,2023-06-01 07:00:00
SFB,0.0,0.0,2023-06-01 07:00:00
SFO,0.0,0.012535917761066866,2023-06-01 07:00:00
SJC,0.0,0.012100203628873688,2023-06-01 07:00:00
SJU,0.0,0.037827288740248294,2023-06-01 07:00:00
SLC,0.0,0.014256617163864092,2023-06-01 07:00:00
SMF,0.0,0.013377872190839373,2023-06-01 07:00:00
SNA,0.0,0.011888486612411455,2023-06-01 07:00:00
SRQ,0.0,0.029059696316745987,2023-06-01 07:00:00
STL,0.0,0.018457456897618067,2023-06-01 07:00:00
TPA,0.0,0.025638213023710506,2023-06-01 07:00:00
TUS,0.0,0.015132534584413096,2023-06-01 07:00:00
