Split,Hub,Model,Lag,Baseline_AUC,ANSP_AUC,DAUC,Baseline_F1,ANSP_F1,DF1,Baseline_Recall,ANSP_Recall,DRecall,Init_AUC,Init_DAUC,Prop_adds
OOT,Small,XGBoost,2hr,0.6866,0.7155,0.0289,0.4301,0.4592,0.0291,0.4753,0.4862,0.0109,0.6947,0.0081,0.0208
OOT,Small,XGBoost,3hr,0.6866,0.7168,0.0302,0.4301,0.4634,0.0333,0.4753,0.4954,0.0201,0.6975,0.0109,0.0193
OOT,Small,XGBoost,6hr,0.6866,0.7049,0.0183,0.4301,0.4429,0.0128,0.4753,0.4751,-0.0002,0.6943,0.0077,0.0106
OOT,Small,RF,2hr,0.7202,0.7465,0.0263,0.1195,0.1962,0.0767,0.0666,0.1143,0.0477,0.7312,0.011,0.0153
OOT,Small,RF,3hr,0.7202,0.7489,0.0287,0.1195,0.1913,0.0718,0.0666,0.1121,0.0455,0.7318,0.0116,0.0171
OOT,Small,RF,6hr,0.7202,0.7404,0.0202,0.1195,0.1627,0.0432,0.0666,0.0933,0.0267,0.7209,0.0007,0.0195
OOT,Small,BaggedLR,2hr,0.6814,0.7051,0.0237,0.4568,0.4707,0.0139,0.6996,0.6955,-0.0041,0.6895,0.0081,0.0156
OOT,Small,BaggedLR,3hr,0.6814,0.7021,0.0207,0.4568,0.4725,0.0157,0.6996,0.707,0.0074,0.6865,0.0051,0.0156
OOT,Small,BaggedLR,6hr,0.6814,0.6814,0.0,0.4568,0.4556,-0.0012,0.6996,0.6966,-0.003,0.6816,0.0002,-0.0002
OOT,Small,ANN,2hr,0.7051,0.7237,0.0186,0.4723,0.4879,0.0156,0.6899,0.6595,-0.0304,0.7135,0.0084,0.0102
OOT,Small,ANN,3hr,0.7051,0.7267,0.0216,0.4723,0.4888,0.0165,0.6899,0.6839,-0.006,0.7076,0.0025,0.0191
OOT,Small,ANN,6hr,0.7051,0.7165,0.0114,0.4723,0.4822,0.0099,0.6899,0.7068,0.0169,0.7013,-0.0038,0.0152
OOT,All,XGBoost,2hr,0.6781,0.7192,0.0411,0.5218,0.5542,0.0324,0.6873,0.6877,0.0004,0.7064,0.0283,0.0128
OOT,All,XGBoost,3hr,0.6781,0.7096,0.0315,0.5218,0.5455,0.0237,0.6873,0.6782,-0.0091,0.7034,0.0253,0.0062
OOT,All,XGBoost,6hr,0.6781,0.6915,0.0134,0.5218,0.532,0.0102,0.6873,0.685,-0.0023,0.6821,0.004,0.0094
OOT,All,RF,2hr,0.6831,0.7222,0.0391,0.2984,0.4009,0.1025,0.2034,0.2987,0.0953,0.7101,0.027,0.0121
OOT,All,RF,3hr,0.6831,0.716,0.0329,0.2984,0.3786,0.0802,0.2034,0.2736,0.0702,0.7064,0.0233,0.0096
OOT,All,RF,6hr,0.6831,0.6998,0.0167,0.2984,0.3219,0.0235,0.2034,0.2219,0.0185,0.6899,0.0068,0.0099
OOT,All,BaggedLR,2hr,0.6522,0.704,0.0518,0.5133,0.5442,0.0309,0.7368,0.7219,-0.0149,0.6914,0.0392,0.0126
OOT,All,BaggedLR,3hr,0.6522,0.6869,0.0347,0.5133,0.5304,0.0171,0.7368,0.7224,-0.0144,0.6797,0.0275,0.0072
OOT,All,BaggedLR,6hr,0.6522,0.6538,0.0016,0.5133,0.5143,0.001,0.7368,0.7384,0.0016,0.6524,0.0002,0.0014
OOT,All,ANN,2hr,0.6683,0.7198,0.0515,0.5226,0.5544,0.0318,0.7659,0.7097,-0.0562,0.7042,0.0359,0.0156
OOT,All,ANN,3hr,0.6683,0.7103,0.042,0.5226,0.5467,0.0241,0.7659,0.7289,-0.037,0.6986,0.0303,0.0117
OOT,All,ANN,6hr,0.6683,0.6833,0.015,0.5226,0.5304,0.0078,0.7659,0.7671,0.0012,0.6733,0.005,0.01
